order_id,customer_id,order_date,status,region_code
1,420.0,2025-08-10 20:27:58,SHIPPED,EAST
2,22.0,2026-04-15 18:23:33,DELIVERED,WEST
3,336.0,2025-12-17 02:44:46,SHIPPED,EAST
4,478.0,2025-12-01 13:39:00,PLACED,SOUTH
5,125.0,2026-03-08 13:55:22,SHIPPED,SOUTH
6,27.0,2025-12-30 09:02:40,CANCELLED,NORTH
7,349.0,21-01-2026 02:25:57,RETURNED,SOUTH
8,209.0,2025-08-29 01:40:09,CANCELLED,WEST
9,334.0,2025-11-30 01:31:45,DELIVERED,EAST
10,331.0,2026-04-27 12:44:27,RETURNED,SOUTH
11,274.0,2026-01-25 13:52:18,PLACED,SOUTH
12,214.0,2026-06-25 22:29:19,PLACED,WEST
13,404.0,2025-08-31 21:06:49,DELIVERED,NORTH
14,5.0,2026-03-14 15:08:07,DELIVERED,EAST
15,233.0,2026-06-09 03:34:03,CANCELLED,SOUTH
16,436.0,2026-04-26 15:06:41,PLACED,EAST
17,84.0,2026-04-02 15:15:59,SHIPPED,NORTH
18,378.0,2025-11-23 12:57:17,SHIPPED,SOUTH
19,313.0,2026-06-22 00:57:55,CANCELLED,EAST
20,45.0,2026-01-28 10:14:32,SHIPPED,WEST
21,166.0,28-01-2026 23:47:25,CANCELLED,SOUTH
22,229.0,2025-08-24 06:25:55,DELIVERED,NORTH
23,134.0,2025-07-12 02:16:21,PLACED,NORTH
24,239.0,2026-02-13 04:18:56,RETURNED,EAST
25,354.0,2026-01-22 10:43:41,DELIVERED,EAST
26,315.0,2026-06-21 03:10:34,CANCELLED,SOUTH
27,233.0,2025-10-29 13:01:54,CANCELLED,WEST
28,388.0,2026-04-09 13:34:13,SHIPPED,SOUTH
29,349.0,2026-06-05 06:27:10,PLACED,WEST
30,271.0,2025-11-12 20:18:11,RETURNED,NORTH
31,32.0,2025-12-07 23:24:44,SHIPPED,SOUTH
32,85.0,2026-03-03 04:15:45,PLACED,SOUTH
33,368.0,2026-01-13 11:05:46,RETURNED,WEST
34,415.0,2025-09-07 01:04:10,CANCELLED,WEST
35,289.0,2025-09-28 21:33:23,DELIVERED,NORTH
36,203.0,11-05-2026 03:23:09,SHIPPED,NORTH
37,24.0,2025-09-19 05:35:57,RETURNED,NORTH
38,479.0,2025-09-14 11:55:22,CANCELLED,NORTH
39,147.0,2026-04-28 07:48:37,CANCELLED,EAST
40,457.0,2026-05-17 12:48:39,CANCELLED,WEST
41,42.0,2026-05-17 05:14:33,RETURNED,SOUTH
42,335.0,2026-06-15 19:06:45,RETURNED,WEST
43,271.0,2026-07-08 10:05:30,PLACED,NORTH
44,153.0,2025-12-25 17:31:20,CANCELLED,WEST
45,422.0,2026-01-27 00:24:36,SHIPPED,EAST
46,97.0,2025-10-24 09:58:25,PLACED,NORTH
47,415.0,2025-08-03 20:40:04,PLACED,SOUTH
48,106.0,2025-08-15 03:00:03,CANCELLED,NORTH
49,126.0,2026-04-01 06:31:24,SHIPPED,SOUTH
50,387.0,2026-01-04 04:46:35,RETURNED,EAST
51,120.0,2025-11-08 02:20:31,DELIVERED,EAST
52,122.0,2025-08-26 02:05:07,RETURNED,SOUTH
53,212.0,2026-03-06 15:54:03,RETURNED,SOUTH
54,321.0,2025-08-15 19:09:11,PLACED,EAST
55,483.0,2026-02-21 12:42:31,RETURNED,EAST
56,357.0,2026-06-04 00:24:20,CANCELLED,SOUTH
57,387.0,2025-11-03 07:49:02,SHIPPED,EAST
58,440.0,2025-12-21 20:26:12,PLACED,WEST
59,496.0,2026-02-20 08:53:31,CANCELLED,SOUTH
60,131.0,2025-10-29 21:39:36,CANCELLED,EAST
61,48.0,2026-02-08 14:52:32,PLACED,EAST
62,194.0,2026-02-01 19:40:31,PLACED,SOUTH
63,412.0,2025-11-20 09:14:39,RETURNED,SOUTH
64,246.0,2025-11-02 19:04:58,DELIVERED,NORTH
65,109.0,2025-12-13 16:37:19,PLACED,WEST
66,469.0,2025-07-12 00:32:14,SHIPPED,WEST
67,469.0,2025-10-08 04:05:39,DELIVERED,WEST
68,239.0,2025-09-29 04:01:24,DELIVERED,EAST
69,263.0,2026-04-06 11:14:01,CANCELLED,EAST
70,469.0,2025-12-16 13:08:28,PLACED,SOUTH
71,380.0,2026-05-13 02:23:07,RETURNED,WEST
72,152.0,2025-08-28 07:28:29,CANCELLED,SOUTH
73,256.0,2026-04-03 23:14:45,DELIVERED,EAST
74,391.0,2026-05-26 21:31:07,CANCELLED,WEST
75,87.0,2025-12-26 07:24:00,SHIPPED,WEST
76,95.0,2025-11-18 06:49:30,PLACED,NORTH
77,430.0,2025-10-29 19:52:28,PLACED,NORTH
78,212.0,2026-01-27 18:00:18,PLACED,SOUTH
79,5.0,2025-09-12 10:56:28,PLACED,WEST
80,338.0,16-02-2026 19:44:05,RETURNED,WEST
81,,2026-05-13 17:08:15,RETURNED,EAST
82,9.0,2026-05-19 21:27:36,CANCELLED,SOUTH
83,55.0,2025-08-30 09:24:11,SHIPPED,SOUTH
84,318.0,2026-01-22 23:34:43,DELIVERED,WEST
85,41.0,2025-10-14 09:38:02,RETURNED,SOUTH
86,357.0,2026-05-29 23:35:21,PLACED,NORTH
87,48.0,2025-08-07 04:25:59,CANCELLED,NORTH
88,,2025-08-06 19:07:12,CANCELLED,WEST
89,331.0,2025-07-17 01:29:27,PLACED,NORTH
90,118.0,2026-01-11 11:59:08,RETURNED,WEST
91,,2025-07-21 15:37:24,DELIVERED,NORTH
92,92.0,2026-02-07 18:53:40,SHIPPED,SOUTH
93,386.0,2025-12-05 05:29:37,PLACED,EAST
94,84.0,2026-02-10 18:17:56,CANCELLED,EAST
95,197.0,2026-06-06 06:37:18,PLACED,EAST
96,28.0,2026-01-27 17:19:22,PLACED,EAST
97,310.0,2026-01-24 18:06:13,CANCELLED,EAST
98,16.0,2026-07-10 00:47:37,CANCELLED,WEST
99,117.0,2025-12-29 16:31:55,CANCELLED,SOUTH
100,349.0,2026-04-19 09:22:30,RETURNED,EAST
101,409.0,2025-11-20 20:51:37,DELIVERED,SOUTH
102,195.0,2025-09-29 19:38:04,CANCELLED,EAST
103,185.0,18-04-2026 06:37:06,DELIVERED,WEST
104,185.0,2026-04-04 01:28:21,PLACED,SOUTH
105,221.0,2025-10-24 13:00:39,CANCELLED,NORTH
106,14.0,2025-12-26 23:38:27,RETURNED,EAST
107,443.0,2026-01-12 16:19:52,CANCELLED,NORTH
108,372.0,2025-12-02 04:18:20,SHIPPED,SOUTH
109,351.0,2026-01-09 16:03:35,DELIVERED,EAST
110,253.0,2026-03-09 07:03:46,DELIVERED,WEST
111,154.0,2026-05-15 23:23:15,DELIVERED,SOUTH
112,370.0,2026-04-30 20:07:07,SHIPPED,WEST
113,55.0,19-02-2026 12:40:27,CANCELLED,EAST
114,431.0,2025-09-08 19:55:37,DELIVERED,WEST
115,172.0,2026-01-14 00:58:51,RETURNED,SOUTH
116,154.0,2025-12-20 05:38:36,SHIPPED,WEST
117,161.0,2025-09-13 16:31:33,DELIVERED,EAST
118,377.0,2026-06-21 18:21:44,RETURNED,SOUTH
119,167.0,2026-03-08 02:26:27,CANCELLED,EAST
120,59.0,2026-06-28 17:07:11,RETURNED,SOUTH
121,350.0,05-04-2026 01:04:43,CANCELLED,SOUTH
122,225.0,2026-01-02 20:27:25,PLACED,WEST
123,345.0,2025-11-18 07:17:52,SHIPPED,EAST
124,338.0,2025-09-28 04:17:53,CANCELLED,NORTH
125,230.0,2026-01-04 08:44:10,CANCELLED,WEST
126,,2025-08-02 05:12:29,RETURNED,NORTH
127,56.0,2025-11-22 04:33:44,DELIVERED,SOUTH
128,332.0,2025-07-25 21:25:50,CANCELLED,EAST
129,495.0,2025-09-23 18:42:50,PLACED,EAST
130,114.0,2026-06-06 19:05:28,RETURNED,SOUTH
131,229.0,2025-11-19 04:49:29,RETURNED,SOUTH
132,177.0,2025-12-28 19:14:01,DELIVERED,WEST
133,472.0,2025-12-23 07:28:39,SHIPPED,EAST
134,160.0,2025-07-27 05:14:30,RETURNED,WEST
135,179.0,2026-07-03 09:47:48,CANCELLED,EAST
136,35.0,2025-11-05 14:54:42,PLACED,NORTH
137,435.0,2026-03-24 06:57:55,SHIPPED,SOUTH
138,265.0,2026-01-16 16:24:43,RETURNED,WEST
139,491.0,2026-05-09 06:40:12,SHIPPED,SOUTH
140,328.0,2026-05-11 04:28:19,RETURNED,SOUTH
141,231.0,2025-10-14 10:20:51,SHIPPED,SOUTH
142,143.0,2026-01-25 01:49:27,PLACED,NORTH
143,410.0,2025-09-11 18:06:28,DELIVERED,SOUTH
144,235.0,2026-03-06 00:08:35,CANCELLED,EAST
145,306.0,2025-11-20 16:17:09,PLACED,EAST
146,181.0,2026-03-05 21:10:24,DELIVERED,NORTH
147,345.0,2026-05-11 09:42:12,DELIVERED,NORTH
148,94.0,2026-01-14 23:07:30,CANCELLED,WEST
149,306.0,2025-11-24 16:59:23,SHIPPED,WEST
150,326.0,2026-06-06 14:51:05,SHIPPED,SOUTH
151,251.0,2026-01-14 20:34:24,CANCELLED,NORTH
152,444.0,16-11-2025 03:36:05,SHIPPED,SOUTH
153,418.0,2026-05-23 04:24:08,CANCELLED,WEST
154,351.0,2026-01-04 01:53:37,CANCELLED,WEST
155,86.0,02-01-2026 08:14:36,SHIPPED,EAST
156,17.0,2026-02-15 22:33:02,SHIPPED,WEST
157,290.0,2026-01-09 13:09:53,RETURNED,NORTH
158,294.0,2025-08-30 00:20:42,DELIVERED,NORTH
159,390.0,2025-09-08 17:50:35,CANCELLED,NORTH
160,377.0,2025-08-07 09:55:08,DELIVERED,NORTH
161,231.0,2026-03-02 06:44:49,PLACED,WEST
